company,work-balance-stars,culture-values-stars,comp-benefit-stars,career-opportunities-stars,senior-management-stars,overall-ratings
amazon,2.692640938327658,2.9982595535376464,3.3009648127128264,3.2224933787362846,2.792905788876277,3.587362845251608
apple,3.0494208494208492,3.2813899613899613,3.6433976833976836,3.0985714285714288,3.1117374517374516,3.9582239382239384
facebook,3.8317610062893084,4.125157232704402,4.44811320754717,4.239937106918239,4.15125786163522,4.511949685534591
google,3.3322036065993093,3.1752142217674892,3.647013684614401,3.3169842690881186,3.1730400306944624,4.339429594577312
microsoft,3.2547964305633017,2.755326268823201,3.6168432794199665,3.306553262688232,2.8218627997769103,3.816564417177914
netflix,3.0592592592592593,2.1839506172839505,3.871604938271605,2.8537037037037036,2.9802469135802467,3.411111111111111
